Comment,Designator,Footprint,LCSC
"1uF","C1,C15,C26,C27","Capacitor_SMD:C_0805_2012Metric",""
"4.7uF","C11,C24","Capacitor_SMD:C_0805_2012Metric",""
"100nF","C2,C6,C7,C8,C9,C10,C12,C13,C14,C16,C17,C18,C19,C20,C21,C25,C28,C29","Capacitor_SMD:C_0805_2012Metric",""
"10uF","C3","Capacitor_SMD:C_0805_2012Metric",""
"2.2uF","C4,C5,C22,C23","Capacitor_SMD:C_0805_2012Metric",""
"LED-GREEN","D2","LED_SMD:LED_0805_2012Metric",""
"LED-RED","D1,D3","LED_SMD:LED_0805_2012Metric",""
"Polyfuse","F1","Capacitor_SMD:C_0805_2012Metric",""
"USB_C_Receptacle_USB2.0","J1","Connector_USB:USB_C_Receptacle_GCT_USB4085",""
"Conn_02x08_Odd_Even","J2","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"Screw_Terminal_01x04","J3","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",""
"Screw_Terminal_01x02","J4","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",""
"Jumper_NC_Dual","JP1,JP2,JP3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SWD","P1","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"5.1K","R1,R2","Resistor_SMD:R_0805_2012Metric",""
"4.7K","R10,R11,R12,R13","Resistor_SMD:R_0805_2012Metric",""
"47","R14,R15","Resistor_SMD:R_0805_2012Metric",""
"20K","R16","Resistor_SMD:R_0805_2012Metric",""
"8.06K","R17","Resistor_SMD:R_0805_2012Metric",""
"68","R3,R4,R5","Resistor_SMD:R_0805_2012Metric",""
"100K","R6","Resistor_SMD:R_0805_2012Metric",""
"10k","R7","Resistor_SMD:R_0805_2012Metric",""
"120","R8,R9","Resistor_SMD:R_0805_2012Metric",""
"SW_SPST","SW1","Button_Switch_SMD:SW_SPST_PTS645",""
"USB3343","U1","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",""
"DSC1001","U10","DSC1001:Oscillator_SMD_Microchip_DSC1001-4Pin_2.5x2.0mm",""
"LD1117S33TR","U2","Package_TO_SOT_SMD:SOT-223",""
"STM32H743VITx","U3","Package_QFP:LQFP-100_14x14mm_P0.5mm",""
"MCP2558FD-xSN","U4,U5","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"74LVC1G66","U6,U7","Package_TO_SOT_SMD:SOT-353_SC-70-5_Handsoldering",""
"SN74LVC1G14DBV","U8","Package_TO_SOT_SMD:SOT-23-5",""
"ST485EBDR","U9","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""